,zone_number,county,road_type_descri_ption,road_name,fatal_collisions,serious_collisions,minor_collisions,total_collisions,start_latitude,start_longtitude,end_latitude,end_longtitude,length_km,type
49,1057,Dublin,Regional,R125,1,2,7,10,53.45931,-6.220163,53.473286,-6.257102,2.99,Current
50,1062,Dublin,Motorway,M50,0,8,108,116,53.292392,-6.331757,53.410807,-6.231246,21.43,Current
51,1063,rbDaunb Rlionad,Urban Stree,/rUionrcswlaossoifdie Rdoad,0,1,6,7,53.397818,-6.187716,53.402015,-6.205119,1.27,Current
52,1065,Dublin,Local,L3016,0,0,8,8,53.385951,-6.404271,53.3909,-6.43123,1.88,Current
53,1066,Dublin,National,N7,1,0,17,18,53.316928,-6.374002,53.307215,-6.406321,2.46,Current
54,1067,Dublin,Regional,R113,0,0,6,6,53.316009,-6.396231,53.322748,-6.406187,1.13,Current
55,1071,Dublin,Motorway,M50,0,8,44,52,53.286393,-6.328661,53.196405,-6.133379,20.14,Current
56,1072,Dublin,Regional,R830,0,2,9,11,53.283348,-6.146407,53.273502,-6.173658,2.19,Current
57,1073,Dublin,Regional,R118,1,9,34,44,53.299423,-6.177143,53.322158,-6.21794,3.8,Current
58,1075,Dublin,Regional,R138,0,5,30,35,53.298102,-6.204318,53.327776,-6.244723,4.34,Current
59,1077,Dublin,Regional,R111,2,18,98,118,53.351657,-6.225592,53.348239,-6.308347,9.88,Current
60,1079,rbDaunb Rlionad,Urban StreeC,/Unnacluagshsitf iSetdreet,0,3,4,7,53.362595,-6.27322,53.364689,-6.28714,0.96,Current
61,1080,Dublin,Regional,R102,0,3,11,14,53.369609,-6.230753,53.376182,-6.251871,1.59,Current
62,1158,Dublin,Local,L6002,0,1,1,2,53.275797,-6.514693,53.299367,-6.507026,3.18,New
63,1164,Dublin,Local,L2025,0,2,1,3,53.454579,-6.223119,53.437229,-6.249286,2.86,New
64,1168,Dublin,Local,L2065,0,1,2,3,53.447852,-6.204573,53.433221,-6.176713,2.6,New
65,1184,Dublin,Local,L3120,0,3,4,7,53.41263,-6.345004,53.423271,-6.326253,2.08,New
66,1190,Dublin,Local,L2015,0,1,2,3,53.417239,-6.265249,53.417611,-6.239268,1.8,New
67,1191,Dublin,Local,L3036,0,1,3,4,53.289451,-6.342928,53.3013,-6.352224,1.79,New
68,1193,Dublin,Local,L3040,0,1,9,10,53.389016,-6.380742,53.382667,-6.403226,1.75,New
69,1194,Dublin,Local,L4020,1,0,1,2,53.278042,-6.284337,53.29304,-6.287856,1.73,New
70,1199,Dublin,Local,L3021,0,0,10,10,53.2878,-6.36231,53.289709,-6.340383,1.48,New
71,1200,Dublin,Local,L4010,0,2,2,4,53.282364,-6.318246,53.291967,-6.311685,1.42,New
72,1201,Dublin,Local,L2002,0,1,4,5,53.280179,-6.445214,53.291189,-6.43748,1.39,New
73,1205,Dublin,Local,L1006,0,0,6,6,53.330089,-6.398097,53.337655,-6.385432,1.31,New
74,1206,Dublin,Local,L4003,0,2,0,2,53.286566,-6.331218,53.275111,-6.331049,1.3,New
75,1208,Dublin,Local,L1003,0,1,5,6,53.308839,-6.196402,53.29954,-6.204867,1.26,New
76,1209,Dublin,Local,L1013,0,1,3,4,53.345593,-6.379578,53.355122,-6.37228,1.28,New
77,1210,Dublin,Local,L3005,0,1,3,4,53.37298,-6.456962,53.362367,-6.455549,1.21,New
78,1213,Dublin,Local,L3010,0,0,8,8,53.285499,-6.407571,53.283491,-6.391536,1.19,New
79,1214,Dublin,Local,L2014,0,1,7,8,53.275615,-6.229457,53.280283,-6.214796,1.16,New
80,1215,Dublin,Local,L3018,0,1,1,2,53.298014,-6.370617,53.298211,-6.35416,1.12,New
81,1216,Dublin,Local,L3007,0,1,9,10,53.276988,-6.356939,53.277039,-6.373489,1.12,New
